frameIndex,coord,centroid
57,"[(223.65746, 209.47897), (329.61398, 199.2233), (162.39206, 164.86308), (145.2133, 314.2755), (32.63002, 198.74997), (236.4337, 34.467995), (195.86302, 363.42593), (51.583317, 167.12018), (51.585228, 16.7811), (66.88161, 204.497)]","(149.5853695, 187.28830250000001)"
58,"[(224.40013, 207.3054), (331.78912, 199.20987), (162.0009, 164.22974), (145.51854, 313.26556), (31.862446, 197.28458), (237.0202, 34.49601), (197.25725, 361.5223), (52.61575, 166.3192), (51.540062, 16.211641), (66.25672, 204.1304)]","(150.02611180000002, 186.3974701)"
59,"[(226.30429, 206.21748), (333.7139, 199.34686), (161.98756, 163.97221), (147.07129, 312.8272), (31.729002, 196.46489), (237.76108, 34.3425), (199.23549, 360.49493), (54.242455, 166.94229), (51.492058, 15.719041), (65.76032, 204.22766)]","(150.92974450000003, 186.0555061)"
60,"[(227.8149, 205.02582), (334.81494, 198.9137), (162.4511, 164.40009), (148.99467, 312.7342), (31.006332, 195.17152), (238.09119, 33.8325), (201.20906, 359.2598), (56.13842, 167.90524), (51.665947, 15.543123), (65.53956, 204.5448)]","(151.7726119, 185.7330793)"
61,"[(229.03827, 203.5487), (335.78055, 198.29893), (163.12978, 164.93022), (150.5798, 312.9141), (30.588667, 194.1918), (238.63715, 33.346523), (202.61884, 358.2873), (57.0338, 167.86499), (51.85315, 15.301773), (65.56018, 204.96867)]","(152.48201869999997, 185.36530059999998)"
62,"[(230.53157, 203.98128), (336.5577, 197.167), (163.43404, 164.29814), (151.64084, 312.9863), (31.060314, 194.2726), (239.81789, 32.623695), (204.66064, 357.31863), (58.247913, 168.47522), (52.02697, 15.130585), (65.440674, 205.34998)]","(153.34185509999998, 185.160343)"
63,"[(232.19707, 203.85239), (337.38928, 196.46913), (163.42729, 163.05402), (152.5783, 312.32666), (31.159609, 194.13327), (241.71841, 32.99328), (206.48895, 356.71942), (58.90684, 167.88718), (51.824112, 14.538195), (65.37667, 205.13594)]","(154.10665310000002, 184.7109485)"
64,"[(234.18228, 203.60632), (337.9805, 195.30133), (163.16869, 160.95442), (153.42413, 311.75998), (31.52558, 194.2129), (243.64975, 34.50078), (208.63223, 356.08383), (60.01385, 166.75537), (51.89394, 14.529662), (65.0239, 204.87056)]","(154.94948499999998, 184.2575152)"
65,"[(236.27185, 203.9782), (338.83627, 194.94073), (162.73317, 158.63583), (154.75978, 311.5394), (30.884272, 193.43637), (245.64226, 37.06415), (210.36427, 355.3642), (61.776417, 166.25629), (52.052273, 14.479846), (65.17773, 204.28616)]","(155.84982920000002, 183.99811759999997)"
66,"[(238.71892, 204.18594), (340.1629, 195.49274), (162.79881, 157.17435), (155.94907, 311.23523), (30.585367, 192.89287), (247.48569, 40.019756), (212.51457, 355.0682), (63.52129, 165.16975), (52.063797, 14.020173), (65.16018, 204.21126)]","(156.8960594, 183.9470269)"
67,"[(241.0217, 203.70178), (341.5912, 195.91632), (163.10223, 156.5215), (157.02943, 311.30554), (31.17839, 193.04504), (248.85811, 40.710686), (213.98297, 354.275), (65.301605, 163.27176), (51.914154, 13.45068), (64.84003, 204.19753)]","(157.88198190000006, 183.63958359999998)"
68,"[(243.43962, 202.847), (343.3907, 196.5815), (162.87405, 155.4984), (158.20325, 312.08978), (31.569193, 192.8492), (250.52899, 42.19319), (215.67938, 353.35303), (66.95154, 162.04941), (52.475765, 14.090587), (64.4863, 203.97548)]","(158.9598788, 183.55275769999997)"
69,"[(245.60497, 200.56857), (345.45547, 197.01137), (163.24786, 155.41734), (159.14, 313.07742), (31.870863, 192.46231), (251.66583, 42.92527), (217.44463, 352.11185), (67.98674, 160.91037), (52.541615, 14.082568), (62.902706, 202.24077)]","(159.7860684, 183.0807838)"
70,"[(248.65747, 198.66779), (347.23663, 197.18805), (162.9342, 154.15514), (159.78769, 313.3322), (31.904564, 191.8124), (252.76668, 43.242676), (220.26044, 350.28464), (68.70031, 159.94753), (52.552826, 14.039717), (61.395573, 200.27391)]","(160.61963830000002, 182.29440530000002)"
71,"[(250.65819, 197.12726), (349.1084, 196.38187), (163.43623, 154.09741), (159.9613, 313.20682), (31.6051, 190.98207), (253.61803, 42.554928), (222.15941, 350.36285), (70.230644, 159.50417), (52.559315, 14.005172), (60.124886, 198.31912)]","(161.3461505, 181.65416699999997)"
72,"[(251.86691, 196.08034), (351.1336, 195.66794), (163.3088, 153.23848), (160.19637, 313.11664), (31.467598, 190.56693), (254.23865, 41.749275), (223.7225, 350.12805), (72.93578, 160.19647), (52.442707, 13.934742), (59.240322, 197.08315)]","(162.0553237, 181.17620169999998)"
73,"[(253.03174, 195.06042), (352.2543, 193.94437), (163.34993, 152.59375), (160.63675, 312.87924), (31.48514, 190.21985), (254.81139, 41.952366), (226.19078, 349.98956), (75.9284, 160.96188), (52.432102, 13.983103), (58.31034, 195.80112)]","(162.84308719999999, 180.7385659)"
74,"[(254.70027, 194.53198), (353.29898, 193.30032), (163.73492, 152.32439), (161.3334, 312.7796), (31.574883, 189.98735), (255.30786, 41.84575), (228.37642, 349.37314), (79.24591, 161.762), (52.4648, 14.10595), (57.57134, 194.61171)]","(163.7608783, 180.46221899999995)"
75,"[(256.00558, 192.98619), (354.0494, 192.39825), (164.22882, 152.19455), (161.94322, 312.63846), (31.773834, 189.60309), (256.24765, 42.16712), (230.52887, 348.6993), (81.6328, 160.81775), (52.555496, 14.395497), (57.131104, 193.46857)]","(164.60967740000004, 179.9368777)"
76,"[(258.7614, 193.13853), (354.8553, 191.26859), (164.60713, 152.13026), (162.61122, 312.4412), (31.77997, 188.97769), (258.95718, 46.858574), (232.53542, 348.32968), (83.53606, 159.24638), (52.54827, 14.542289), (57.159237, 192.20277)]","(165.7351187, 179.91359630000002)"
77,"[(261.52365, 192.4937), (356.20657, 190.93394), (164.78497, 151.6932), (162.79643, 312.0722), (32.01356, 188.72253), (260.757, 49.09538), (233.9417, 347.38757), (86.485214, 157.9651), (52.40048, 14.43399), (57.126743, 190.94652)]","(166.8036317, 179.574413)"
78,"[(265.1331, 191.41144), (357.42303, 190.64526), (165.00854, 151.35971), (163.05971, 311.88425), (32.28147, 188.15436), (262.7486, 51.108566), (235.71661, 346.37375), (87.97008, 156.70024), (52.209988, 14.373387), (57.087257, 189.87517)]","(167.86383849999999, 179.18861330000001)"
79,"[(268.26108, 189.00679), (358.908, 190.55736), (164.86308, 150.67786), (164.31061, 312.49426), (32.63936, 187.67377), (265.5959, 54.787754), (237.82289, 344.7651), (89.13863, 155.83636), (51.990223, 14.213448), (56.549973, 188.7199)]","(169.00797459999995, 178.87326019999998)"
80,"[(271.53064, 187.02434), (360.4784, 190.43398), (165.38443, 150.38791), (165.89323, 312.92856), (33.175766, 187.2055), (268.6401, 54.161423), (240.06677, 343.3344), (91.46645, 156.02257), (51.79498, 14.298611), (56.469864, 187.84929)]","(170.49006299999996, 178.3646584)"
81,"[(273.70035, 186.1016), (362.03336, 190.3473), (165.57158, 149.60202), (167.58177, 313.4672), (33.65178, 186.48824), (270.40286, 54.056602), (241.70331, 342.05426), (94.93551, 157.2911), (51.86782, 14.959674), (56.96314, 187.41992)]","(171.84114800000003, 178.17879159999998)"
82,"[(275.55676, 185.48938), (363.21234, 189.37788), (165.94128, 148.58287), (168.88005, 313.40424), (33.99636, 185.82742), (271.11368, 53.254684), (243.0424, 341.43445), (98.51103, 158.3672), (54.601406, 18.657446), (56.952797, 185.89638)]","(173.18081030000002, 178.029195)"
83,"[(278.29773, 187.56047), (364.40253, 188.08418), (166.29015, 147.50792), (169.78848, 312.77997), (34.798508, 185.15137), (271.90875, 52.48004), (244.30766, 341.59637), (101.61498, 159.26373), (53.151173, 16.642643), (57.263237, 184.25438)]","(174.1823198, 177.5321073)"
84,"[(281.19537, 189.27252), (365.10275, 187.38127), (167.11153, 147.18393), (170.57675, 312.56705), (35.269897, 184.645), (272.71994, 51.273342), (246.14919, 341.90002), (104.43888, 159.66971), (52.552334, 15.429033), (57.86442, 182.705)]","(175.2981061, 177.2026875)"
85,"[(284.267, 190.8974), (366.10764, 187.07408), (167.95137, 147.37741), (172.17203, 313.28604), (35.624054, 184.0599), (274.44864, 52.561966), (248.34758, 342.03214), (106.470985, 158.4037), (52.186638, 14.697373), (58.2716, 180.69524)]","(176.5847537, 177.1085249)"
86,"[(287.55054, 192.43808), (367.0339, 185.98152), (168.25717, 147.003), (173.71756, 313.94717), (35.56157, 183.18307), (277.91156, 58.311085), (250.55292, 341.83734), (108.846405, 156.93054), (51.000435, 12.693176), (59.36966, 179.06856)]","(177.980172, 177.13935410000002)"
87,"[(290.35025, 191.54944), (368.0518, 185.05301), (168.48149, 146.14923), (174.37338, 313.89954), (36.228153, 183.2206), (280.81482, 62.04263), (252.56656, 341.98822), (111.18751, 155.02252), (51.524788, 13.449412), (60.1638, 177.34209)]","(179.3742551, 176.9716692)"
88,"[(292.96713, 189.58801), (369.08923, 184.86433), (169.04117, 146.05151), (174.8431, 313.69525), (36.489506, 183.1998), (282.7711, 62.71427), (254.04097, 341.5645), (112.34357, 153.28763), (51.572, 14.0298), (61.00503, 176.3751)]","(180.4162806, 176.53702)"
89,"[(296.38416, 187.6845), (369.9634, 184.72896), (169.7457, 145.94348), (175.49329, 313.4817), (36.37078, 182.74), (286.098, 64.30709), (255.40683, 339.83783), (113.528595, 152.055), (51.855415, 14.446032), (61.239628, 174.90811)]","(181.6085798, 176.01327020000002)"
90,"[(299.03818, 185.79626), (370.75677, 184.14937), (171.17546, 147.11705), (175.87856, 313.27484), (36.055595, 182.00699), (289.682, 65.239815), (257.87476, 338.6395), (115.48215, 152.44516), (51.78057, 14.524913), (60.67827, 172.99835)]","(182.8402315, 175.6192248)"
91,"[(301.07993, 183.7218), (371.3691, 184.08734), (172.2107, 147.84715), (176.52109, 312.88275), (35.74904, 181.39468), (291.81906, 64.943985), (259.9854, 337.3396), (119.089615, 153.09648), (51.68536, 14.400392), (60.82335, 171.65076)]","(184.0332645, 175.1364937)"
92,"[(303.06262, 183.67743), (371.89032, 183.8897), (172.90575, 148.3632), (177.0914, 312.80316), (35.967987, 181.27827), (293.26767, 63.97909), (262.60352, 338.1841), (124.12962, 156.05962), (51.684055, 14.437155), (60.010212, 169.15808)]","(185.26131539999994, 175.1829805)"
93,"[(305.7349, 184.67162), (372.37814, 183.69836), (173.49101, 149.1949), (177.91942, 312.5139), (35.24401, 180.03847), (294.3814, 63.60295), (264.55228, 338.86954), (128.25786, 158.28374), (51.7409, 14.482715), (60.96082, 168.22269)]","(186.466074, 175.3578885)"
94,"[(308.07672, 184.17697), (372.89423, 183.46306), (174.75017, 150.75432), (178.39561, 311.99463), (34.51713, 178.40833), (295.07724, 61.693245), (266.63535, 340.02283), (131.29648, 159.08943), (51.70522, 14.384968), (61.71956, 166.96196)]","(187.50677100000001, 175.0949743)"
95,"[(310.66574, 183.83157), (373.68948, 182.89809), (175.68517, 151.5885), (178.80827, 311.4337), (34.042934, 177.35042), (298.21924, 63.33097), (268.63342, 339.96478), (134.26053, 158.00194), (51.76829, 14.348276), (63.045406, 165.34981)]","(188.88184800000002, 174.80980559999998)"
96,"[(314.21814, 185.13675), (374.75507, 182.06169), (175.85301, 151.3728), (179.31436, 310.90192), (33.90962, 176.7848), (300.92233, 66.97327), (270.91412, 340.24142), (136.26988, 156.23213), (51.62591, 14.048697), (63.86654, 163.26144)]","(190.164898, 174.70149170000002)"
